Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,WW7PSR,146.960,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,WW7PSR - 146.960,,,,
2,WW7PSR,52.870,-,1.700000,Tone,103.5,88.5,023,NN,FM,5.00,,WW7PSR - 52.870,,,,
3,W7AUX,442.825,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,W7AUX - 442.825,,,,
4,W7AUX,440.300,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,W7AUX - 440.300,,,,
5,W7AUX,224.020,-,1.600000,Tone,103.5,88.5,023,NN,FM,5.00,,W7AUX - 224.020,,,,
6,NC7G,146.660,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,NC7G - 146.660,,,,
7,WA7ST,443.100,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,WA7ST - 443.100,,,,
8,AA7MI,440.725,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,AA7MI - 440.725,,,,
9,W7FLY,443.925,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,W7FLY - 443.925,,,,
10,W7DX,147.000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,W7DX - 147.000,,,,
11,W7NPC,53.430,-,1.700000,Tone,100.0,88.5,023,NN,FM,5.00,,W7NPC - 53.430,,,,
12,W7NPC,444.475,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,W7NPC - 444.475,,,,
13,K7DK,440.950,+,5.000000,Tone,110.9,88.5,023,NN,FM,5.00,,K7DK - 440.950,,,,
14,K7LWH,145.490,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,K7LWH - 145.490,,,,
15,K7PP,441.200,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,K7PP - 441.200,,,,
16,N9VW,53.830,-,1.700000,Tone,123.0,88.5,023,NN,FM,5.00,,N9VW - 53.830,,,,
17,WW7SEA,444.700,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,WW7SEA - 444.700,,,,
18,WW7SEA,444.425,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,WW7SEA - 444.425,,,,
19,K7NWS,145.330,-,0.600000,Tone,179.9,88.5,023,NN,FM,5.00,,K7NWS - 145.330,,,,
20,K7NWS,224.340,-,1.600000,Tone,110.9,88.5,023,NN,FM,5.00,,K7NWS - 224.340,,,,
21,K7LED,146.820,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,K7LED - 146.820,,,,
22,K7LED,224.120,-,1.600000,Tone,103.5,88.5,023,NN,FM,5.00,,K7LED - 224.120,,,,
23,W7EAT,146.700,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,W7EAT - 146.700,,,,
24,W7EAT,224.180,-,1.600000,Tone,103.5,88.5,023,NN,FM,5.00,,W7EAT - 224.180,,,,
25,W7EAT,442.725,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,W7EAT - 442.725,,,,
26,W7DK,147.280,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,W7DK - 147.280,,,,
27,W7DK,440.625,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,W7DK - 440.625,,,,
28,W7DK,145.210,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,W7DK - 145.210,,,,
29,W7DK,147.380,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,W7DK - 147.380,,,,
30,W7AAO,145.370,-,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,W7AAO - 145.370,,,,
31,WW7STR,443.050,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,WW7STR - 443.050,,,,
32,WW7STR,224.440,-,1.600000,Tone,103.5,88.5,023,NN,FM,5.00,,WW7STR - 224.440,,,,
33,W7ACS,442.300,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,W7ACS - 442.300,,,,
34,W7ACS,444.550,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,W7ACS - 444.550,,,,
35,W7ACS,442.875,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,W7ACS - 442.875,,,,
36,W7ACS,443.475,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,W7ACS - 443.475,,,,
37,W7ACS,443.650,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,W7ACS - 443.650,,,,
38,W7ACS,440.600,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,W7ACS - 440.600,,,,
39,W7ACS,443.200,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,W7ACS - 443.200,,,,
40,W7JCR,145.150,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,W7JCR - 145.150,,,,
41,KF7NPL,147.260,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,KF7NPL - 147.260,,,,
42,K7CPR,145.470,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,K7CPR - 145.470,,,,
43,K7PG,147.060,+,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,K7PG - 147.060,,,,
44,K7PG,145.430,-,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,K7PG - 145.430,,,,
45,NW7DR,444.725,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,NW7DR - 444.725,,,,
46,W7PSE,443.625,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,W7PSE - 443.625,,,,
